operator,psi,h_type,pa,pb,pab,irr_conj,is_irr
U_Q10,neutral,rat,0.73,0.04,0.34,0.3,True
U_Q10,neutral,irr,0.0,0.47,0.04,0.04,True
U_Q10,rat,rat,0.63,0.23,0.06,-0.17,False
U_Q10,rat,irr,0.04,0.07,0.17,0.14,True
U_Q10,irr,rat,0.03,0.16,0.37,0.35,True
U_Q10,irr,irr,0.18,0.72,0.12,-0.06,False
U_Q12,neutral,rat,0.76,0.46,0.03,-0.43,False
U_Q12,neutral,irr,0.0,0.05,0.89,0.89,True
U_Q12,rat,rat,0.31,0.19,0.2,0.0,True
U_Q12,rat,irr,0.21,0.19,0.68,0.49,True
U_Q12,irr,rat,0.35,0.2,0.75,0.55,True
U_Q12,irr,irr,0.46,0.7,0.06,-0.4,False
U_Q16,neutral,rat,0.02,0.33,0.28,0.25,True
U_Q16,neutral,irr,0.46,0.0,0.04,0.03,True
U_Q16,rat,rat,0.18,0.47,0.28,0.1,True
U_Q16,rat,irr,0.16,0.06,0.02,-0.04,False
U_Q16,irr,rat,0.64,0.04,0.06,0.02,True
U_Q16,irr,irr,0.26,0.11,0.31,0.2,True
U_Q18,neutral,rat,0.0,0.51,0.25,0.25,True
U_Q18,neutral,irr,0.36,0.01,0.0,-0.01,False
U_Q18,rat,rat,0.25,0.54,0.1,-0.15,False
U_Q18,rat,irr,0.05,0.06,0.11,0.06,True
U_Q18,irr,rat,0.39,0.01,0.2,0.19,True
U_Q18,irr,irr,0.5,0.1,0.26,0.17,True
I,neutral,rat,0.5,0.5,0.0,-0.5,False
I,neutral,irr,0.0,0.0,1.0,1.0,True
I,rat,rat,0.13,0.13,0.34,0.21,True
I,rat,irr,0.25,0.25,0.65,0.39,True
I,irr,rat,0.4,0.4,0.7,0.3,True
I,irr,irr,0.5,0.5,0.14,-0.36,False
